season,start_date,area_ha,fire_cover,district_id,geometry
2019,2019-01-29 00:00:00+00:00,2.0652897795003353,90-100,Gippsland - Latrobe,"MULTIPOLYGON (((146.37188 -38.861295, 146.371846 -38.861283, 146.37183 -38.861271, 146.371786 -38.861226, 146.371737 -38.861144, 146.371706 -38.861036, 146.371681 -38.861009, 146.371607 -38.860957, 146.371546 -38.860914, 146.371524 -38.860885, 146.371512 -38.860859, 146.37154 -38.86082, 146.371595 -38.860805, 146.371659 -38.860762, 146.371717 -38.860732, 146.371791 -38.860716, 146.371789 -38.860661, 146.371847 -38.860638, 146.37192 -38.86067, 146.371954 -38.860659, 146.372033 -38.860673, 146.37211 -38.860658, 146.372113 -38.860689, 146.372159 -38.860717, 146.372242 -38.860735, 146.372287 -38.860754, 146.372313 -38.86078, 146.372279 -38.8608, 146.372327 -38.860817, 146.372386 -38.860836, 146.372422 -38.860848, 146.372527 -38.860839, 146.372571 -38.860836, 146.372647 -38.860836, 146.372688 -38.860806, 146.372747 -38.860801, 146.372806 -38.860797, 146.372849 -38.860831, 146.372918 -38.860847, 146.372964 -38.860858, 146.37312 -38.860855, 146.37327 -38.860898, 146.373456 -38.860896, 146.373584 -38.860922, 146.373627 -38.860915, 146.373677 -38.860902, 146.373776 -38.86091, 146.373904 -38.860998, 146.373938 -38.861024, 146.373961 -38.861027, 146.374002 -38.861007, 146.374043 -38.861017, 146.374077 -38.861024, 146.374108 -38.861025, 146.374135 -38.86105, 146.374089 -38.861057, 146.374114 -38.861085, 146.374191 -38.8611, 146.374218 -38.861121, 146.374186 -38.861139, 146.374224 -38.861162, 146.374299 -38.861166, 146.374356 -38.861174, 146.374374 -38.861198, 146.374324 -38.861216, 146.374277 -38.861223, 146.37426 -38.861241, 146.374274 -38.861266, 146.374261 -38.861284, 146.374221 -38.861282, 146.374175 -38.861275, 146.374148 -38.861265, 146.374128 -38.86129, 146.374117 -38.86131, 146.374135 -38.861332, 146.374156 -38.861339, 146.374127 -38.861344, 146.374183 -38.861355, 146.374191 -38.861374, 146.374187 -38.861407, 146.374176 -38.861422, 146.374155 -38.861433, 146.374112 -38.861438, 146.374076 -38.861453, 146.374019 -38.861448, 146.374008 -38.861467, 146.37409 -38.86152, 146.374144 -38.861545, 146.374168 -38.861519, 146.374179 -38.861494, 146.3742 -38.861471, 146.374232 -38.86148, 146.374234 -38.861494, 146.374309 -38.86151, 146.374347 -38.861532, 146.374344 -38.861533, 146.374336 -38.86155, 146.374316 -38.861568, 146.374264 -38.861554, 146.374224 -38.861538, 146.374226 -38.861566, 146.374211 -38.861586, 146.374185 -38.861587, 146.374154 -38.861601, 146.374136 -38.861624, 146.374157 -38.861652, 146.374124 -38.861676, 146.374094 -38.861707, 146.374086 -38.861746, 146.374084 -38.861786, 146.374091 -38.861822, 146.374049 -38.861848, 146.374018 -38.861872, 146.374017 -38.861927, 146.374012 -38.86197, 146.373983 -38.861989, 146.373917 -38.861986, 146.373801 -38.862016, 146.373708 -38.86202, 146.373644 -38.862055, 146.373589 -38.862057, 146.373568 -38.862077, 146.373559 -38.862111, 146.373527 -38.862114, 146.373487 -38.862113, 146.373463 -38.862087, 146.373446 -38.862071, 146.373448 -38.862045, 146.373398 -38.862043, 146.373381 -38.862018, 146.373375 -38.861976, 146.373393 -38.861931, 146.373378 -38.861887, 146.373418 -38.861854, 146.373402 -38.861833, 146.37337 -38.861835, 146.373334 -38.86184, 146.373297 -38.861821, 146.373299 -38.86179, 146.373334 -38.861754, 146.373356 -38.861725, 146.373344 -38.861679, 146.373321 -38.861656, 146.373283 -38.861655, 146.373245 -38.861674, 146.373232 -38.861695, 146.373193 -38.86173, 146.373175 -38.861708, 146.373177 -38.861678, 146.373155 -38.861654, 146.373111 -38.861656, 146.373052 -38.861682, 146.372961 -38.861683, 146.372898 -38.86166, 146.372853 -38.86168, 146.372774 -38.861668, 146.372714 -38.861616, 146.372691 -38.861588, 146.372657 -38.861582, 146.372608 -38.861599, 146.372574 -38.86162, 146.372534 -38.861637, 146.372496 -38.861638, 146.372448 -38.861631, 146.372459 -38.861587, 146.372451 -38.861559, 146.37239 -38.861548, 146.37231 -38.861571, 146.372229 -38.861602, 146.372138 -38.861616, 146.372076 -38.861608, 146.372076 -38.861569, 146.372128 -38.861526, 146.372141 -38.861491, 146.372112 -38.86148, 146.372114 -38.861454, 146.372089 -38.86144, 146.372054 -38.861413, 146.371989 -38.861384, 146.371963 -38.861338, 146.371943 -38.861294, 146.37188 -38.861295)))"
2019,2019-03-01 00:00:00+00:00,318.0698115710322,90-100,Gippsland - Latrobe,"MULTIPOLYGON (((146.32923 -38.989801, 146.329317 -38.990395, 146.329983 -38.99096, 146.330504 -38.99105, 146.330798 -38.991285, 146.330789 -38.991644, 146.329895 -38.992021, 146.329299 -38.992288, 146.328948 -38.992568, 146.327846 -38.992505, 146.326471 -38.993493, 146.325973 -38.993988, 146.325914 -38.994849, 146.326172 -38.99575, 146.326183 -38.995899, 146.326101 -38.996323, 146.325622 -38.996778, 146.325012 -38.996722, 146.324403 -38.996847, 146.323568 -38.997095, 146.322962 -38.997339, 146.322357 -38.997687, 146.32248 -38.99797, 146.322979 -38.998292, 146.323039 -38.998771, 146.323141 -38.999264, 146.322888 -38.999674, 146.32118 -39.001036, 146.320178 -39.000954, 146.31997 -39.001289, 146.320207 -39.001692, 146.320213 -39.002061, 146.320234 -39.002371, 146.31974 -39.002912, 146.31948 -39.003274, 146.319107 -39.003754, 146.319039 -39.004231, 146.319047 -39.004708, 146.319019 -39.005302, 146.319198 -39.005782, 146.318844 -39.00614, 146.318238 -39.006384, 146.317629 -39.00651, 146.317024 -39.006814, 146.316414 -39.00688, 146.315733 -39.007186, 146.314665 -39.007257, 146.314056 -39.007323, 146.313216 -39.007332, 146.312972 -39.00702, 146.31244 -39.006688, 146.311859 -39.00641, 146.311227 -39.006668, 146.309794 -39.00669, 146.309016 -39.006804, 146.3083 -39.006633, 146.307551 -39.00644, 146.306933 -39.006029, 146.306319 -39.005798, 146.305929 -39.005325, 146.306073 -39.004847, 146.306065 -39.004371, 146.305827 -39.003897, 146.30546 -39.003459, 146.305062 -39.003415, 146.304301 -39.003543, 146.304138 -39.002949, 146.303822 -39.002357, 146.303669 -39.001465, 146.303522 -39.00093, 146.303512 -39.000347, 146.303923 -38.999413, 146.304691 -38.997942, 146.304692 -38.996692, 146.304847 -38.995493, 146.304927 -38.994432, 146.305106 -38.993751, 146.305344 -38.993385, 146.306016 -38.992955, 146.306534 -38.992925, 146.306995 -38.992647, 146.307352 -38.992142, 146.307176 -38.991674, 146.307039 -38.991282, 146.307113 -38.991103, 146.307732 -38.99115, 146.308069 -38.991245, 146.309229 -38.991208, 146.309775 -38.991055, 146.309513 -38.990891, 146.309525 -38.990724, 146.30934 -38.990607, 146.309598 -38.990521, 146.30984 -38.990423, 146.310159 -38.990324, 146.310434 -38.990345, 146.310786 -38.990401, 146.310948 -38.990046, 146.311178 -38.989234, 146.311418 -38.989005, 146.312226 -38.988944, 146.312314 -38.988729, 146.312371 -38.988514, 146.312399 -38.988347, 146.31252 -38.98831, 146.312765 -38.988319, 146.313146 -38.988315, 146.313606 -38.988441, 146.314126 -38.988464, 146.31443 -38.988436, 146.314953 -38.988645, 146.315197 -38.988644, 146.315472 -38.988641, 146.315685 -38.988591, 146.316115 -38.988777, 146.316456 -38.989059, 146.316695 -38.989635, 146.317079 -38.989726, 146.317324 -38.989806, 146.317512 -38.990083, 146.318499 -38.989751, 146.319252 -38.989218, 146.319884 -38.988687, 146.320744 -38.988106, 146.321504 -38.987931, 146.322336 -38.987541, 146.322883 -38.987368, 146.323524 -38.987385, 146.324136 -38.987486, 146.325654 -38.987838, 146.325983 -38.988347, 146.326126 -38.988655, 146.327042 -38.988681, 146.327686 -38.988793, 146.328697 -38.98902, 146.32923 -38.989801)))"
